Person ID,weight,BIRTHDAY,Gender,Number_of children,People_in_Household
12217197,2212.27,19610301,male,0,1-HH (male)
34721598,4793.38,19610301,male,0,2-HH
552604,8136.82,19870101,male,1 child,5-HH
809910104,4477.16,19660101,male,0,3-HH
9109,7516.76,19870801,female,0,2-HH
94359,16063.95,19840701,female,1 child,7-HH
683019135,7897.71,19680201,male,0,2-HH
857175,#NULL!,19770801,male,0,2-HH
520655,4825.22,19890301,female,0,1 -HH (female)
6356742,4230.08,19570601,male,0,2-HH
472,16254.04,19870601,male,0,3-HH
6699407,5013.41,19901101,female,0,2-HH
4741856,4500.26,19660301,male,0,3-HH
296649191,3542.77,19620801,female,0,2-HH
55689,718.05,19510601,female,0,2-HH
43836807,3542.77,19510201,female,0,2-HH
4282620,17567.01,19940801,male,1 child,3-HH
5510825,7856.13,19920301,female,1 child,3-HH
7344,18103.20,19950101,female,0,1 -HH (female)
88432390,2636.71,19840401,male,1 child,3-HH
9171,7283.92,19760201,female,1 child,3-HH
935868003,#NULL!,19480301,male,0,3-HH
26213637,2000.23,19490501,female,0,1 -HH (female)
4605,3169.14,19810701,female,0,2-HH
7837800,5291.08,19840501,female,0,2-HH
87678101,3830.53,19680401,male,0,2-HH
19260170,11067.60,19940801,male,0,1-HH (male)
115881,5394.16,19900601,male,0,2-HH
2384,17215.76,19930701,female,0,1 -HH (female)
61098020,10594.44,19780401,male,0,2-HH
2242679,3604.27,19871101,male,0,2-HH
127399515,2890.87,19630601,female,0,1 -HH (female)
20915038,2032.42,19660701,female,0,1 -HH (female)
27114,2079.74,19401001,female,0,2-HH
17357829,3303.56,19720901,female,0,2-HH
36594166,718.05,19411101,female,0,2-HH
3415,718.05,19601101,female,0,2-HH
9625694,1814.07,19610401,male,0,2-HH
85243357,6505.70,19660901,male,0,3-HH
26101,4411.52,19880401,male,0,2-HH
957820,#NULL!,19530401,male,0,1-HH (male)
3446,6650.52,19670901,female,0,2-HH
419578813,6510.30,19840801,female,1 child,3-HH
5686340,15874.10,19851101,female,0,2-HH
14954784,9291.02,19690701,male,0,3-HH
420352,35149.08,19991101,female,0,3-HH
